time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1773565951.910339,0.09,-0.84,0.29,-12.93,-24.89,10.43,0.89
1773565951.964527,0.11,-0.88,0.28,-34.55,-13.97,-22.41,0.92
1773565952.0703802,0.09,-0.94,0.29,-16.56,-4.76,32.58,0.99
1773565952.1605778,0.04,-0.95,0.24,-48.47,-17.18,48.98,0.98
1773565952.2788074,-0.0,-0.97,0.21,-18.98,-21.66,6.15,0.99
1773565952.381394,-0.01,-0.97,0.22,-3.94,-26.41,-4.21,0.99
1773565952.4794538,0.07,-0.96,0.17,-18.06,24.7,9.14,0.98
1773565952.5879626,0.01,-0.96,0.18,-16.43,-1.07,3.62,0.97
1773565952.6882036,-0.01,-0.95,0.18,-9.68,-15.27,3.56,0.97
1773565952.7964318,-0.02,-0.95,0.16,-36.7,-28.95,20.98,0.97
1773565952.8955183,-0.01,-0.97,0.14,-24.47,-72.41,14.15,0.98
1773565952.9945664,-0.04,-0.97,0.11,-20.35,-111.37,1.37,0.97
1773565953.098801,-0.04,-1.01,0.08,-33.4,-110.78,-2.81,1.02
1773565953.197308,-0.03,-1.0,0.04,-36.56,-113.41,0.04,1.0
1773565953.3102305,0.01,-0.99,-0.0,-5.63,-88.67,4.35,0.99
1773565953.41309,0.04,-0.98,0.0,8.08,-74.58,-3.45,0.98
1773565953.50224,-0.03,-1.0,-0.06,1.94,-44.84,14.35,1.0
1773565953.615266,-0.09,-1.13,-0.04,-0.0,-69.12,18.4,1.13
1773565953.7144828,0.05,-0.87,0.08,14.2,-152.28,-20.9,0.88
1773565953.8286514,0.09,-0.93,0.11,-66.7,-37.94,-13.89,0.94
1773565953.9296155,0.1,-1.58,0.22,22.7,-48.73,118.63,1.6
1773565954.0294116,0.08,0.11,0.08,53.45,-48.49,38.76,0.16
1773565954.1471128,0.15,-0.85,0.1,-106.18,-106.08,-157.74,0.87
1773565954.238252,0.01,-2.0,0.31,23.8,-63.36,82.96,2.02
1773565954.345927,-0.1,-0.74,0.08,24.63,-28.35,80.67,0.75
1773565954.4540043,0.04,0.1,-0.07,-29.15,-48.95,-105.79,0.13
1773565954.5467212,-0.05,-0.91,0.06,-26.72,-130.75,-137.18,0.91
1773565954.6465423,-0.13,-2.0,0.43,17.95,-85.16,146.76,2.05
1773565954.752699,0.06,-1.31,0.13,-43.01,-7.71,105.57,1.32
1773565954.8485527,0.11,0.04,-0.05,15.4,2.47,-39.6,0.13
1773565954.9619458,0.16,-0.69,-0.12,-95.74,-110.86,-164.35,0.72
1773565955.063642,0.25,-2.0,0.24,14.35,-12.46,29.62,2.03
1773565955.164023,-0.19,-0.64,0.01,8.53,-3.99,28.87,0.66
1773565955.2732327,0.03,0.03,0.04,54.08,-18.49,-54.21,0.06
1773565955.3640428,0.1,-1.76,0.31,-32.73,-11.37,-33.36,1.79
1773565955.4814134,0.07,-1.84,0.37,25.48,85.79,132.44,1.88
1773565955.5790489,0.14,-0.52,0.09,-33.76,88.76,-12.29,0.55
1773565955.6840985,0.04,-0.2,-0.01,-26.4,7.82,-8.58,0.2
1773565955.7794056,0.11,-0.91,0.09,51.25,-111.85,-106.05,0.92
1773565955.895179,-0.05,-1.5,0.36,-16.81,-83.91,91.31,1.54
1773565955.9935122,-0.03,-1.28,0.32,-95.92,-0.08,145.88,1.31
1773565956.10039,0.13,-0.83,0.04,6.12,13.79,-23.6,0.84
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773565959.4411535,-0.15,-0.96,0.04,-2.08,-2.78,-8.32,0.97
1773565959.54656,-0.12,-1.0,0.07,-0.47,-4.23,-6.17,1.01
1773565959.6505198,-0.09,-1.15,0.09,11.14,13.4,-27.97,1.16
1773565959.748153,0.02,-1.08,0.15,32.46,46.76,-15.56,1.09
1773565959.8537743,0.12,-1.08,0.1,-1.01,37.11,-45.12,1.09
1773565959.957312,0.03,-0.76,0.1,-30.11,52.69,40.52,0.77
1773565960.061108,0.01,-0.73,0.11,-5.5,-9.05,0.35,0.74
1773565960.166205,0.0,-0.84,0.09,-31.37,-45.01,-24.49,0.84
1773565960.277898,-0.03,-1.1,0.09,-38.9,-92.37,-67.41,1.1
1773565960.3778844,-0.14,-1.31,0.09,-52.5,-79.36,116.69,1.32
1773565960.4791534,0.07,-1.68,0.05,4.02,-46.46,92.4,1.68
1773565960.580348,0.29,-0.47,0.02,19.02,-18.72,44.09,0.55
1773565960.680138,0.0,-0.45,-0.01,-18.58,-23.19,-35.63,0.45
1773565960.7817032,0.05,-0.48,-0.03,-5.44,-39.5,-158.89,0.49
1773565960.8990111,0.11,-1.41,0.04,1.89,-17.01,-105.3,1.41
1773565960.997409,-0.25,-1.66,0.0,32.09,72.27,64.81,1.67
1773565961.0927022,0.09,-1.34,0.19,62.0,94.64,65.75,1.36
1773565961.1963758,0.23,-0.64,0.07,-26.37,97.28,18.96,0.68
1773565961.3029706,0.02,-0.45,0.07,-21.07,47.04,6.99,0.45
1773565961.413241,0.08,-0.72,0.08,-1.11,-54.81,-107.19,0.73
1773565961.513972,-0.04,-1.16,0.16,20.99,-56.09,-35.59,1.17
1773565961.6144924,-0.21,-1.3,0.26,8.15,-53.91,65.34,1.34
1773565961.715006,0.03,-1.41,0.09,-62.53,4.5,37.54,1.42
1773565961.8240888,0.25,-0.72,0.03,-10.78,18.95,39.36,0.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773565964.6946766,0.01,-1.02,0.11,28.15,-36.29,-41.74,1.02
1773565964.7969372,-0.04,-0.92,0.06,-11.28,-35.41,-1.36,0.92
1773565964.8983295,-0.02,-0.98,0.01,-46.75,-41.42,4.17,0.98
1773565965.026488,-0.1,-0.96,-0.04,-45.04,-43.51,-26.52,0.96
